protein,cid
BCL2,5870
BCL2,445154
BCL2,46937002
BCL2,46936193
BCL2,54675858
BCL2,5280961
BCL2,2519
BCL2,2153
BCL2,5429
BCL2,2353
BCL2,5994
BCL2,10235
BCL2,1060
BCL2,5280934
BCL2,6054
BCL2,119205
BCL2,637517
BCL2,996
BCL2,439246
BCL2,3034034
BCL2,1130
BCL2,3893
BCL2,12620
BCL2,444294
BCL2,14985
BCL2,338
BCL2,5280863
BCL2,446220
BCL2,702
BCL2,3776
BCL2,5280343
BCL2,6305
BCL2,107971
BCL2,6274
BCL2,6267
BCL2,5962
BCL2,5862
BCL2,33032
BCL2,1174
BCL2,453551
BCL2,1110
BCL2,938
BCL2,7478
BCL2,10133
BCL2,31401
BCL2,221493
BCL2,79034
BCL2,60961
BCL2,3000322
BCL2,5281672
BCL2,1045
BCL2,199
BCL2,1103
BCL2,785
BCL2,3000346
BCL2,998
BCL2,46936484
BCL2,955
BCL2,243
BCL2,1102
BCL2,971
BCL2,25322948
BCL2,681
BCL2,9996708
BCL2,750
BCL2,444863
BCL2,26470759
BCL2,289
BCL2,8969
BCL2,1054
BCL2,5281855
BCL2,72281
BCL2,54670067
BCL2,145742
BCL2,942
BCL2,3532
BCL2,2230
BCL2,379
BCL2,6137
BCL2,16666
BCL2,5283731
BCL2,5280795
BCL2,3182
BCL2,311
BCL2,6089
BCL2,441074
BCL2,612
BCL2,6057
BCL2,6912
BCL2,5960
BCL2,5951
BCL2,6288
BCL2,6287
BCL2,6106
BCL2,239
BCL2,5950
BCL2,154417
BCL2,6140
BCL2,46936492
BCL2,5978
BCL2,241903
BCL2,6021
BCL2,190
BCL2,790
BCL2,1031
BCL2,445354
BCL2,6037
BCL2,493570
BCL2,448751
BCL2,385
BCL2,760
BCL2,743
BCL2,7054
BCL2,264
BCL2,47936
BCL2,439685
BCL2,5282745
BCL2,2879
BCL2,1032
BCL2,46936757
BCL2,19
BCL2,14969
BCL2,2969
BCL2,6590
BCL2,10430
BCL2,440995
BCL2,439260
BCL2,8617
BCL2,1135
BCL2,7991
BCL2,3715
BCL2,5770
BCL2,1176
BCL2,936
BCL2,12530
BCL2,443884
BCL2,440473
BCL2,1549107
BCL2,174174
BCL2,1491
BCL2,647
BCL2,5326566
BCL2,7997
BCL2,1005
BCL2,757
BCL2,24417
BCL2,46936732
BCL2,1123
BCL2,6047
BCL2,441478
BCL2,6581
BCL2,11047943
BCL2,9294
BCL2,31721
BCL2,3007
BCL2,10836
BCL2,342
BCL2,3631
BCL2,6013
BCL2,6128
BCL2,3662
BCL2,9750
BCL2,5288826
BECN1,5870
BECN1,445154
BECN1,46937002
BECN1,46936193
BECN1,54675858
BECN1,5280961
BECN1,2519
BECN1,2153
BECN1,5429
BECN1,2353
BECN1,5994
BECN1,10235
BECN1,1060
BECN1,5280934
BECN1,6054
BECN1,119205
BECN1,637517
BECN1,996
BECN1,439246
BECN1,3034034
BECN1,1130
BECN1,3893
BECN1,12620
BECN1,444294
BECN1,14985
BECN1,338
BECN1,5280863
BECN1,446220
BECN1,702
BECN1,3776
BECN1,5280343
BECN1,6305
BECN1,107971
BECN1,6274
BECN1,6267
BECN1,5962
BECN1,5862
BECN1,33032
BECN1,1174
BECN1,453551
BECN1,1110
BECN1,938
BECN1,7478
BECN1,10133
BECN1,31401
BECN1,221493
BECN1,79034
BECN1,60961
BECN1,3000322
BECN1,5281672
BECN1,1045
BECN1,199
BECN1,1103
BECN1,785
BECN1,3000346
BECN1,998
BECN1,46936484
BECN1,955
BECN1,243
BECN1,1102
BECN1,971
BECN1,25322948
BECN1,681
BECN1,9996708
BECN1,750
BECN1,444863
BECN1,26470759
BECN1,289
BECN1,8969
BECN1,1054
BECN1,5281855
BECN1,72281
BECN1,54670067
BECN1,145742
BECN1,942
BECN1,3532
BECN1,2230
BECN1,379
BECN1,6137
BECN1,16666
BECN1,5283731
BECN1,5280795
BECN1,3182
BECN1,311
BECN1,6089
BECN1,441074
BECN1,612
BECN1,6057
BECN1,6912
BECN1,5960
BECN1,5951
BECN1,6288
BECN1,6287
BECN1,6106
BECN1,239
BECN1,5950
BECN1,154417
BECN1,6140
BECN1,46936492
BECN1,5978
BECN1,241903
BECN1,6021
BECN1,190
BECN1,790
BECN1,1031
BECN1,445354
BECN1,6037
BECN1,493570
BECN1,448751
BECN1,385
BECN1,760
BECN1,743
BECN1,7054
BECN1,264
BECN1,47936
BECN1,439685
BECN1,5282745
BECN1,2879
BECN1,1032
BECN1,46936757
BECN1,19
BECN1,14969
BECN1,2969
BECN1,6590
BECN1,10430
BECN1,440995
BECN1,439260
BECN1,8617
BECN1,1135
BECN1,7991
BECN1,3715
BECN1,5770
BECN1,1176
BECN1,936
BECN1,12530
BECN1,443884
BECN1,440473
BECN1,1549107
BECN1,174174
BECN1,1491
BECN1,647
BECN1,5326566
BECN1,7997
BECN1,1005
BECN1,757
BECN1,24417
BECN1,46936732
BECN1,1123
BECN1,6047
BECN1,441478
BECN1,6581
BECN1,11047943
BECN1,9294
BECN1,31721
BECN1,3007
BECN1,10836
BECN1,342
BECN1,3631
BECN1,6013
BECN1,6128
BECN1,3662
BECN1,9750
BECN1,5288826
CDN2A,5870
CDN2A,445154
CDN2A,46937002
CDN2A,46936193
CDN2A,54675858
CDN2A,5280961
CDN2A,2519
CDN2A,2153
CDN2A,5429
CDN2A,2353
CDN2A,5994
CDN2A,10235
CDN2A,1060
CDN2A,5280934
CDN2A,6054
CDN2A,119205
CDN2A,637517
CDN2A,996
CDN2A,439246
CDN2A,3034034
CDN2A,1130
CDN2A,3893
CDN2A,12620
CDN2A,444294
CDN2A,14985
CDN2A,338
CDN2A,5280863
CDN2A,446220
CDN2A,702
CDN2A,3776
CDN2A,5280343
CDN2A,6305
CDN2A,107971
CDN2A,6274
CDN2A,6267
CDN2A,5962
CDN2A,5862
CDN2A,33032
CDN2A,1174
CDN2A,453551
CDN2A,1110
CDN2A,938
CDN2A,7478
CDN2A,10133
CDN2A,31401
CDN2A,221493
CDN2A,79034
CDN2A,60961
CDN2A,3000322
CDN2A,5281672
CDN2A,1045
CDN2A,199
CDN2A,1103
CDN2A,785
CDN2A,3000346
CDN2A,998
CDN2A,46936484
CDN2A,955
CDN2A,243
CDN2A,1102
CDN2A,971
CDN2A,25322948
CDN2A,681
CDN2A,9996708
CDN2A,750
CDN2A,444863
CDN2A,26470759
CDN2A,289
CDN2A,8969
CDN2A,1054
CDN2A,5281855
CDN2A,72281
CDN2A,54670067
CDN2A,145742
CDN2A,942
CDN2A,3532
CDN2A,2230
CDN2A,379
CDN2A,6137
CDN2A,16666
CDN2A,5283731
CDN2A,5280795
CDN2A,3182
CDN2A,311
CDN2A,6089
CDN2A,441074
CDN2A,612
CDN2A,6057
CDN2A,6912
CDN2A,5960
CDN2A,5951
CDN2A,6288
CDN2A,6287
CDN2A,6106
CDN2A,239
CDN2A,5950
CDN2A,154417
CDN2A,6140
CDN2A,46936492
CDN2A,5978
CDN2A,241903
CDN2A,6021
CDN2A,190
CDN2A,790
CDN2A,1031
CDN2A,445354
CDN2A,6037
CDN2A,493570
CDN2A,448751
CDN2A,385
CDN2A,760
CDN2A,743
CDN2A,7054
CDN2A,264
CDN2A,47936
CDN2A,439685
CDN2A,5282745
CDN2A,2879
CDN2A,1032
CDN2A,46936757
CDN2A,19
CDN2A,14969
CDN2A,2969
CDN2A,6590
CDN2A,10430
CDN2A,440995
CDN2A,439260
CDN2A,8617
CDN2A,1135
CDN2A,7991
CDN2A,3715
CDN2A,5770
CDN2A,1176
CDN2A,936
CDN2A,12530
CDN2A,443884
CDN2A,440473
CDN2A,1549107
CDN2A,174174
CDN2A,1491
CDN2A,647
CDN2A,5326566
CDN2A,7997
CDN2A,1005
CDN2A,757
CDN2A,24417
CDN2A,46936732
CDN2A,1123
CDN2A,6047
CDN2A,441478
CDN2A,6581
CDN2A,11047943
CDN2A,9294
CDN2A,31721
CDN2A,3007
CDN2A,10836
CDN2A,342
CDN2A,3631
CDN2A,6013
CDN2A,6128
CDN2A,3662
CDN2A,9750
CDN2A,5288826
IGF1,5870
IGF1,445154
IGF1,46937002
IGF1,46936193
IGF1,54675858
IGF1,5280961
IGF1,2519
IGF1,2153
IGF1,5429
IGF1,2353
IGF1,5994
IGF1,10235
IGF1,1060
IGF1,5280934
IGF1,6054
IGF1,119205
IGF1,637517
IGF1,996
IGF1,439246
IGF1,3034034
IGF1,1130
IGF1,3893
IGF1,12620
IGF1,444294
IGF1,14985
IGF1,338
IGF1,5280863
IGF1,446220
IGF1,702
IGF1,3776
IGF1,5280343
IGF1,6305
IGF1,107971
IGF1,6274
IGF1,6267
IGF1,5962
IGF1,5862
IGF1,33032
IGF1,1174
IGF1,453551
IGF1,1110
IGF1,938
IGF1,7478
IGF1,10133
IGF1,31401
IGF1,221493
IGF1,79034
IGF1,60961
IGF1,3000322
IGF1,5281672
IGF1,1045
IGF1,199
IGF1,1103
IGF1,785
IGF1,3000346
IGF1,998
IGF1,46936484
IGF1,955
IGF1,243
IGF1,1102
IGF1,971
IGF1,25322948
IGF1,681
IGF1,9996708
IGF1,750
IGF1,444863
IGF1,26470759
IGF1,289
IGF1,8969
IGF1,1054
IGF1,5281855
IGF1,72281
IGF1,54670067
IGF1,145742
IGF1,942
IGF1,3532
IGF1,2230
IGF1,379
IGF1,6137
IGF1,16666
IGF1,5283731
IGF1,5280795
IGF1,3182
IGF1,311
IGF1,6089
IGF1,441074
IGF1,612
IGF1,6057
IGF1,6912
IGF1,5960
IGF1,5951
IGF1,6288
IGF1,6287
IGF1,6106
IGF1,239
IGF1,5950
IGF1,154417
IGF1,6140
IGF1,46936492
IGF1,5978
IGF1,241903
IGF1,6021
IGF1,190
IGF1,790
IGF1,1031
IGF1,445354
IGF1,6037
IGF1,493570
IGF1,448751
IGF1,385
IGF1,760
IGF1,743
IGF1,7054
IGF1,264
IGF1,47936
IGF1,439685
IGF1,5282745
IGF1,2879
IGF1,1032
IGF1,46936757
IGF1,19
IGF1,14969
IGF1,2969
IGF1,6590
IGF1,10430
IGF1,440995
IGF1,439260
IGF1,8617
IGF1,1135
IGF1,7991
IGF1,3715
IGF1,5770
IGF1,1176
IGF1,936
IGF1,12530
IGF1,443884
IGF1,440473
IGF1,1549107
IGF1,174174
IGF1,1491
IGF1,647
IGF1,5326566
IGF1,7997
IGF1,1005
IGF1,757
IGF1,24417
IGF1,46936732
IGF1,1123
IGF1,6047
IGF1,441478
IGF1,6581
IGF1,11047943
IGF1,9294
IGF1,31721
IGF1,3007
IGF1,10836
IGF1,342
IGF1,3631
IGF1,6013
IGF1,6128
IGF1,3662
IGF1,9750
IGF1,5288826
KLOT,5870
KLOT,445154
KLOT,46937002
KLOT,46936193
KLOT,54675858
KLOT,5280961
KLOT,2519
KLOT,2153
KLOT,5429
KLOT,2353
KLOT,5994
KLOT,10235
KLOT,1060
KLOT,5280934
KLOT,6054
KLOT,119205
KLOT,637517
KLOT,996
KLOT,439246
KLOT,3034034
KLOT,1130
KLOT,3893
KLOT,12620
KLOT,444294
KLOT,14985
KLOT,338
KLOT,5280863
KLOT,446220
KLOT,702
KLOT,3776
KLOT,5280343
KLOT,6305
KLOT,107971
KLOT,6274
KLOT,6267
KLOT,5962
KLOT,5862
KLOT,33032
KLOT,1174
KLOT,453551
KLOT,1110
KLOT,938
KLOT,7478
KLOT,10133
KLOT,31401
KLOT,221493
KLOT,79034
KLOT,60961
KLOT,3000322
KLOT,5281672
KLOT,1045
KLOT,199
KLOT,1103
KLOT,785
KLOT,3000346
KLOT,998
KLOT,46936484
KLOT,955
KLOT,243
KLOT,1102
KLOT,971
KLOT,25322948
KLOT,681
KLOT,9996708
KLOT,750
KLOT,444863
KLOT,26470759
KLOT,289
KLOT,8969
KLOT,1054
KLOT,5281855
KLOT,72281
KLOT,54670067
KLOT,145742
KLOT,942
KLOT,3532
KLOT,2230
KLOT,379
KLOT,6137
KLOT,16666
KLOT,5283731
KLOT,5280795
KLOT,3182
KLOT,311
KLOT,6089
KLOT,441074
KLOT,612
KLOT,6057
KLOT,6912
KLOT,5960
KLOT,5951
KLOT,6288
KLOT,6287
KLOT,6106
KLOT,239
KLOT,5950
KLOT,154417
KLOT,6140
KLOT,46936492
KLOT,5978
KLOT,241903
KLOT,6021
KLOT,190
KLOT,790
KLOT,1031
KLOT,445354
KLOT,6037
KLOT,493570
KLOT,448751
KLOT,385
KLOT,760
KLOT,743
KLOT,7054
KLOT,264
KLOT,47936
KLOT,439685
KLOT,5282745
KLOT,2879
KLOT,1032
KLOT,46936757
KLOT,19
KLOT,14969
KLOT,2969
KLOT,6590
KLOT,10430
KLOT,440995
KLOT,439260
KLOT,8617
KLOT,1135
KLOT,7991
KLOT,3715
KLOT,5770
KLOT,1176
KLOT,936
KLOT,12530
KLOT,443884
KLOT,440473
KLOT,1549107
KLOT,174174
KLOT,1491
KLOT,647
KLOT,5326566
KLOT,7997
KLOT,1005
KLOT,757
KLOT,24417
KLOT,46936732
KLOT,1123
KLOT,6047
KLOT,441478
KLOT,6581
KLOT,11047943
KLOT,9294
KLOT,31721
KLOT,3007
KLOT,10836
KLOT,342
KLOT,3631
KLOT,6013
KLOT,6128
KLOT,3662
KLOT,9750
KLOT,5288826
SIR1,5870
SIR1,445154
SIR1,46937002
SIR1,46936193
SIR1,54675858
SIR1,5280961
SIR1,2519
SIR1,2153
SIR1,5429
SIR1,2353
SIR1,5994
SIR1,10235
SIR1,1060
SIR1,5280934
SIR1,6054
SIR1,119205
SIR1,637517
SIR1,996
SIR1,439246
SIR1,3034034
SIR1,1130
SIR1,3893
SIR1,12620
SIR1,444294
SIR1,14985
SIR1,338
SIR1,5280863
SIR1,446220
SIR1,702
SIR1,3776
SIR1,5280343
SIR1,6305
SIR1,107971
SIR1,6274
SIR1,6267
SIR1,5962
SIR1,5862
SIR1,33032
SIR1,1174
SIR1,453551
SIR1,1110
SIR1,938
SIR1,7478
SIR1,10133
SIR1,31401
SIR1,221493
SIR1,79034
SIR1,60961
SIR1,3000322
SIR1,5281672
SIR1,1045
SIR1,199
SIR1,1103
SIR1,785
SIR1,3000346
SIR1,998
SIR1,46936484
SIR1,955
SIR1,243
SIR1,1102
SIR1,971
SIR1,25322948
SIR1,681
SIR1,9996708
SIR1,750
SIR1,444863
SIR1,26470759
SIR1,289
SIR1,8969
SIR1,1054
SIR1,5281855
SIR1,72281
SIR1,54670067
SIR1,145742
SIR1,942
SIR1,3532
SIR1,2230
SIR1,379
SIR1,6137
SIR1,16666
SIR1,5283731
SIR1,5280795
SIR1,3182
SIR1,311
SIR1,6089
SIR1,441074
SIR1,612
SIR1,6057
SIR1,6912
SIR1,5960
SIR1,5951
SIR1,6288
SIR1,6287
SIR1,6106
SIR1,239
SIR1,5950
SIR1,154417
SIR1,6140
SIR1,46936492
SIR1,5978
SIR1,241903
SIR1,6021
SIR1,190
SIR1,790
SIR1,1031
SIR1,445354
SIR1,6037
SIR1,493570
SIR1,448751
SIR1,385
SIR1,760
SIR1,743
SIR1,7054
SIR1,264
SIR1,47936
SIR1,439685
SIR1,5282745
SIR1,2879
SIR1,1032
SIR1,46936757
SIR1,19
SIR1,14969
SIR1,2969
SIR1,6590
SIR1,10430
SIR1,440995
SIR1,439260
SIR1,8617
SIR1,1135
SIR1,7991
SIR1,3715
SIR1,5770
SIR1,1176
SIR1,936
SIR1,12530
SIR1,443884
SIR1,440473
SIR1,1549107
SIR1,174174
SIR1,1491
SIR1,647
SIR1,5326566
SIR1,7997
SIR1,1005
SIR1,757
SIR1,24417
SIR1,46936732
SIR1,1123
SIR1,6047
SIR1,441478
SIR1,6581
SIR1,11047943
SIR1,9294
SIR1,31721
SIR1,3007
SIR1,10836
SIR1,342
SIR1,3631
SIR1,6013
SIR1,6128
SIR1,3662
SIR1,9750
SIR1,5288826
SIR2,5870
SIR2,445154
SIR2,46937002
SIR2,46936193
SIR2,54675858
SIR2,5280961
SIR2,2519
SIR2,2153
SIR2,5429
SIR2,2353
SIR2,5994
SIR2,10235
SIR2,1060
SIR2,5280934
SIR2,6054
SIR2,119205
SIR2,637517
SIR2,996
SIR2,439246
SIR2,3034034
SIR2,1130
SIR2,3893
SIR2,12620
SIR2,444294
SIR2,14985
SIR2,338
SIR2,5280863
SIR2,446220
SIR2,702
SIR2,3776
SIR2,5280343
SIR2,6305
SIR2,107971
SIR2,6274
SIR2,6267
SIR2,5962
SIR2,5862
SIR2,33032
SIR2,1174
SIR2,453551
SIR2,1110
SIR2,938
SIR2,7478
SIR2,10133
SIR2,31401
SIR2,221493
SIR2,79034
SIR2,60961
SIR2,3000322
SIR2,5281672
SIR2,1045
SIR2,199
SIR2,1103
SIR2,785
SIR2,3000346
SIR2,998
SIR2,46936484
SIR2,955
SIR2,243
SIR2,1102
SIR2,971
SIR2,25322948
SIR2,681
SIR2,9996708
SIR2,750
SIR2,444863
SIR2,26470759
SIR2,289
SIR2,8969
SIR2,1054
SIR2,5281855
SIR2,72281
SIR2,54670067
SIR2,145742
SIR2,942
SIR2,3532
SIR2,2230
SIR2,379
SIR2,6137
SIR2,16666
SIR2,5283731
SIR2,5280795
SIR2,3182
SIR2,311
SIR2,6089
SIR2,441074
SIR2,612
SIR2,6057
SIR2,6912
SIR2,5960
SIR2,5951
SIR2,6288
SIR2,6287
SIR2,6106
SIR2,239
SIR2,5950
SIR2,154417
SIR2,6140
SIR2,46936492
SIR2,5978
SIR2,241903
SIR2,6021
SIR2,190
SIR2,790
SIR2,1031
SIR2,445354
SIR2,6037
SIR2,493570
SIR2,448751
SIR2,385
SIR2,760
SIR2,743
SIR2,7054
SIR2,264
SIR2,47936
SIR2,439685
SIR2,5282745
SIR2,2879
SIR2,1032
SIR2,46936757
SIR2,19
SIR2,14969
SIR2,2969
SIR2,6590
SIR2,10430
SIR2,440995
SIR2,439260
SIR2,8617
SIR2,1135
SIR2,7991
SIR2,3715
SIR2,5770
SIR2,1176
SIR2,936
SIR2,12530
SIR2,443884
SIR2,440473
SIR2,1549107
SIR2,174174
SIR2,1491
SIR2,647
SIR2,5326566
SIR2,7997
SIR2,1005
SIR2,757
SIR2,24417
SIR2,46936732
SIR2,1123
SIR2,6047
SIR2,441478
SIR2,6581
SIR2,11047943
SIR2,9294
SIR2,31721
SIR2,3007
SIR2,10836
SIR2,342
SIR2,3631
SIR2,6013
SIR2,6128
SIR2,3662
SIR2,9750
SIR2,5288826
SIR3,5870
SIR3,445154
SIR3,46937002
SIR3,46936193
SIR3,54675858
SIR3,5280961
SIR3,2519
SIR3,2153
SIR3,5429
SIR3,2353
SIR3,5994
SIR3,10235
SIR3,1060
SIR3,5280934
SIR3,6054
SIR3,119205
SIR3,637517
SIR3,996
SIR3,439246
SIR3,3034034
SIR3,1130
SIR3,3893
SIR3,12620
SIR3,444294
SIR3,14985
SIR3,338
SIR3,5280863
SIR3,446220
SIR3,702
SIR3,3776
SIR3,5280343
SIR3,6305
SIR3,107971
SIR3,6274
SIR3,6267
SIR3,5962
SIR3,5862
SIR3,33032
SIR3,1174
SIR3,453551
SIR3,1110
SIR3,938
SIR3,7478
SIR3,10133
SIR3,31401
SIR3,221493
SIR3,79034
SIR3,60961
SIR3,3000322
SIR3,5281672
SIR3,1045
SIR3,199
SIR3,1103
SIR3,785
SIR3,3000346
SIR3,998
SIR3,46936484
SIR3,955
SIR3,243
SIR3,1102
SIR3,971
SIR3,25322948
SIR3,681
SIR3,9996708
SIR3,750
SIR3,444863
SIR3,26470759
SIR3,289
SIR3,8969
SIR3,1054
SIR3,5281855
SIR3,72281
SIR3,54670067
SIR3,145742
SIR3,942
SIR3,3532
SIR3,2230
SIR3,379
SIR3,6137
SIR3,16666
SIR3,5283731
SIR3,5280795
SIR3,3182
SIR3,311
SIR3,6089
SIR3,441074
SIR3,612
SIR3,6057
SIR3,6912
SIR3,5960
SIR3,5951
SIR3,6288
SIR3,6287
SIR3,6106
SIR3,239
SIR3,5950
SIR3,154417
SIR3,6140
SIR3,46936492
SIR3,5978
SIR3,241903
SIR3,6021
SIR3,190
SIR3,790
SIR3,1031
SIR3,445354
SIR3,6037
SIR3,493570
SIR3,448751
SIR3,385
SIR3,760
SIR3,743
SIR3,7054
SIR3,264
SIR3,47936
SIR3,439685
SIR3,5282745
SIR3,2879
SIR3,1032
SIR3,46936757
SIR3,19
SIR3,14969
SIR3,2969
SIR3,6590
SIR3,10430
SIR3,440995
SIR3,439260
SIR3,8617
SIR3,1135
SIR3,7991
SIR3,3715
SIR3,5770
SIR3,1176
SIR3,936
SIR3,12530
SIR3,443884
SIR3,440473
SIR3,1549107
SIR3,174174
SIR3,1491
SIR3,647
SIR3,5326566
SIR3,7997
SIR3,1005
SIR3,757
SIR3,24417
SIR3,46936732
SIR3,1123
SIR3,6047
SIR3,441478
SIR3,6581
SIR3,11047943
SIR3,9294
SIR3,31721
SIR3,3007
SIR3,10836
SIR3,342
SIR3,3631
SIR3,6013
SIR3,6128
SIR3,3662
SIR3,9750
SIR3,5288826
SIR4,5870
SIR4,445154
SIR4,46937002
SIR4,46936193
SIR4,54675858
SIR4,5280961
SIR4,2519
SIR4,2153
SIR4,5429
SIR4,2353
SIR4,5994
SIR4,10235
SIR4,1060
SIR4,5280934
SIR4,6054
SIR4,119205
SIR4,637517
SIR4,996
SIR4,439246
SIR4,3034034
SIR4,1130
SIR4,3893
SIR4,12620
SIR4,444294
SIR4,14985
SIR4,338
SIR4,5280863
SIR4,446220
SIR4,702
SIR4,3776
SIR4,5280343
SIR4,6305
SIR4,107971
SIR4,6274
SIR4,6267
SIR4,5962
SIR4,5862
SIR4,33032
SIR4,1174
SIR4,453551
SIR4,1110
SIR4,938
SIR4,7478
SIR4,10133
SIR4,31401
SIR4,221493
SIR4,79034
SIR4,60961
SIR4,3000322
SIR4,5281672
SIR4,1045
SIR4,199
SIR4,1103
SIR4,785
SIR4,3000346
SIR4,998
SIR4,46936484
SIR4,955
SIR4,243
SIR4,1102
SIR4,971
SIR4,25322948
SIR4,681
SIR4,9996708
SIR4,750
SIR4,444863
SIR4,26470759
SIR4,289
SIR4,8969
SIR4,1054
SIR4,5281855
SIR4,72281
SIR4,54670067
SIR4,145742
SIR4,942
SIR4,3532
SIR4,2230
SIR4,379
SIR4,6137
SIR4,16666
SIR4,5283731
SIR4,5280795
SIR4,3182
SIR4,311
SIR4,6089
SIR4,441074
SIR4,612
SIR4,6057
SIR4,6912
SIR4,5960
SIR4,5951
SIR4,6288
SIR4,6287
SIR4,6106
SIR4,239
SIR4,5950
SIR4,154417
SIR4,6140
SIR4,46936492
SIR4,5978
SIR4,241903
SIR4,6021
SIR4,190
SIR4,790
SIR4,1031
SIR4,445354
SIR4,6037
SIR4,493570
SIR4,448751
SIR4,385
SIR4,760
SIR4,743
SIR4,7054
SIR4,264
SIR4,47936
SIR4,439685
SIR4,5282745
SIR4,2879
SIR4,1032
SIR4,46936757
SIR4,19
SIR4,14969
SIR4,2969
SIR4,6590
SIR4,10430
SIR4,440995
SIR4,439260
SIR4,8617
SIR4,1135
SIR4,7991
SIR4,3715
SIR4,5770
SIR4,1176
SIR4,936
SIR4,12530
SIR4,443884
SIR4,440473
SIR4,1549107
SIR4,174174
SIR4,1491
SIR4,647
SIR4,5326566
SIR4,7997
SIR4,1005
SIR4,757
SIR4,24417
SIR4,46936732
SIR4,1123
SIR4,6047
SIR4,441478
SIR4,6581
SIR4,11047943
SIR4,9294
SIR4,31721
SIR4,3007
SIR4,10836
SIR4,342
SIR4,3631
SIR4,6013
SIR4,6128
SIR4,3662
SIR4,9750
SIR4,5288826
SIR5,5870
SIR5,445154
SIR5,46937002
SIR5,46936193
SIR5,54675858
SIR5,5280961
SIR5,2519
SIR5,2153
SIR5,5429
SIR5,2353
SIR5,5994
SIR5,10235
SIR5,1060
SIR5,5280934
SIR5,6054
SIR5,119205
SIR5,637517
SIR5,996
SIR5,439246
SIR5,3034034
SIR5,1130
SIR5,3893
SIR5,12620
SIR5,444294
SIR5,14985
SIR5,338
SIR5,5280863
SIR5,446220
SIR5,702
SIR5,3776
SIR5,5280343
SIR5,6305
SIR5,107971
SIR5,6274
SIR5,6267
SIR5,5962
SIR5,5862
SIR5,33032
SIR5,1174
SIR5,453551
SIR5,1110
SIR5,938
SIR5,7478
SIR5,10133
SIR5,31401
SIR5,221493
SIR5,79034
SIR5,60961
SIR5,3000322
SIR5,5281672
SIR5,1045
SIR5,199
SIR5,1103
SIR5,785
SIR5,3000346
SIR5,998
SIR5,46936484
SIR5,955
SIR5,243
SIR5,1102
SIR5,971
SIR5,25322948
SIR5,681
SIR5,9996708
SIR5,750
SIR5,444863
SIR5,26470759
SIR5,289
SIR5,8969
SIR5,1054
SIR5,5281855
SIR5,72281
SIR5,54670067
SIR5,145742
SIR5,942
SIR5,3532
SIR5,2230
SIR5,379
SIR5,6137
SIR5,16666
SIR5,5283731
SIR5,5280795
SIR5,3182
SIR5,311
SIR5,6089
SIR5,441074
SIR5,612
SIR5,6057
SIR5,6912
SIR5,5960
SIR5,5951
SIR5,6288
SIR5,6287
SIR5,6106
SIR5,239
SIR5,5950
SIR5,154417
SIR5,6140
SIR5,46936492
SIR5,5978
SIR5,241903
SIR5,6021
SIR5,190
SIR5,790
SIR5,1031
SIR5,445354
SIR5,6037
SIR5,493570
SIR5,448751
SIR5,385
SIR5,760
SIR5,743
SIR5,7054
SIR5,264
SIR5,47936
SIR5,439685
SIR5,5282745
SIR5,2879
SIR5,1032
SIR5,46936757
SIR5,19
SIR5,14969
SIR5,2969
SIR5,6590
SIR5,10430
SIR5,440995
SIR5,439260
SIR5,8617
SIR5,1135
SIR5,7991
SIR5,3715
SIR5,5770
SIR5,1176
SIR5,936
SIR5,12530
SIR5,443884
SIR5,440473
SIR5,1549107
SIR5,174174
SIR5,1491
SIR5,647
SIR5,5326566
SIR5,7997
SIR5,1005
SIR5,757
SIR5,24417
SIR5,46936732
SIR5,1123
SIR5,6047
SIR5,441478
SIR5,6581
SIR5,11047943
SIR5,9294
SIR5,31721
SIR5,3007
SIR5,10836
SIR5,342
SIR5,3631
SIR5,6013
SIR5,6128
SIR5,3662
SIR5,9750
SIR5,5288826
